Date;Well1
2007-12-12;-3.80958333333333
2007-12-13;-3.86541666666667
2007-12-14;-3.91875
2007-12-15;-3.96666666666667
2007-12-16;-4.05
2007-12-17;-4.13166666666667
2007-12-18;-4.18125
2007-12-19;-4.19583333333333
2007-12-20;-4.23958333333333
2007-12-21;-4.31458333333333
2007-12-22;-4.38708333333333
2007-12-23;-4.45875
2007-12-24;-4.54333333333333
2007-12-25;-4.645
2007-12-26;-4.74666666666667
2007-12-27;-4.84416666666667
2007-12-28;-4.93666666666667
2007-12-29;-5.04041666666667
2007-12-30;-5.15791666666667
2007-12-31;-5.26375
2008-01-01;-5.37375
2008-01-02;-5.48583333333333
